ID Sensor,Ubicacionn,Fecha y Hora,Temperatura (C),Humedad (%),Nivel de Bateria (%)
S4890,Exteriores,2024-10-26 07:30:35,15.75,34.07,29.88
S5715,Edificio B,2024-10-25 16:40:35,19.74,34.4,39.99
S5327,Edificio A,2024-10-26 02:30:35,28.25,65.27,98.49
S3458,Edificio B,2024-10-26 02:54:35,15.63,66.54,84.45
S6323,Edificio B,2024-10-26 00:25:35,15.03,57.33,81.8
S1476,Edificio A,2024-10-26 04:50:35,18.85,44.96,34.34
S8976,Edificio B,2024-10-26 03:43:35,15.16,52.05,45.22
S3503,Exteriores,2024-10-26 16:03:35,25.94,50.01,14.74
S1876,Edificio B,2024-10-26 10:18:35,15.4,66.07,14.46
S4404,Sótano,2024-10-26 16:15:35,29.36,62.4,12.66
S9126,Edificio A,2024-10-26 10:35:35,25.21,73.49,55.87
S1147,Edificio B,2024-10-25 22:22:35,27.29,70.66,19.08
S4014,Sótano,2024-10-26 11:56:35,21.89,63.68,83.83
S4262,Edificio A,2024-10-26 05:44:35,19.87,56.57,51.59
S8651,Edificio A,2024-10-26 16:27:35,16.68,48.47,25.32
S6066,Exteriores,2024-10-26 16:39:35,27.48,43.6,12.93
S9370,Exteriores,2024-10-26 11:07:35,21.45,69.19,20.19
S4643,Exteriores,2024-10-26 14:03:35,20.49,51.93,65.25
S3045,Sótano,2024-10-26 05:12:35,16.03,55.79,29.18
S3047,Edificio B,2024-10-26 10:47:35,17.13,43.09,47.95
S9490,Edificio B,2024-10-25 20:47:35,21.38,41.01,84.48
S9507,Sótano,2024-10-26 05:29:35,16.37,41.56,54.64
S8961,Exteriores,2024-10-26 04:39:35,23.5,41.24,70.35
S6007,Edificio A,2024-10-25 18:54:35,16.97,40.69,95.32
S6233,Edificio B,2024-10-26 02:58:35,16.71,77.93,42.96
S6867,Edificio A,2024-10-26 12:42:35,20.93,71.45,74.26
S4889,Exteriores,2024-10-26 15:20:35,25.15,33.23,23.32
S8437,Edificio A,2024-10-26 06:46:35,26.16,58.86,41.07
S3291,Sótano,2024-10-25 22:15:35,24.69,60.93,58.1
S3456,Edificio B,2024-10-25 23:01:35,16.23,50.71,85.25
S9180,Exteriores,2024-10-26 12:10:35,19.87,56.19,85.06
S1504,Exteriores,2024-10-26 16:25:35,16.01,39.03,88.75
S3820,Edificio B,2024-10-25 19:39:35,16.93,44.94,60.8
S4746,Sótano,2024-10-26 03:40:35,25.86,60.03,72.11
S4376,Edificio B,2024-10-26 09:35:35,27.09,33.66,47.16
S6458,Sótano,2024-10-25 22:46:35,24.75,52.99,29.31
S7286,Edificio B,2024-10-26 06:03:35,24.68,71.27,34.25
S2203,Edificio A,2024-10-26 12:38:35,28.42,52.76,48.52
S4404,Exteriores,2024-10-25 20:54:35,29.52,71.43,77.64
S1237,Edificio B,2024-10-26 01:08:35,28.39,49.92,39.89
S1687,Edificio A,2024-10-25 18:54:35,22.26,72.15,36.35
S5279,Edificio B,2024-10-26 05:56:35,16.77,63.98,70.15
S9392,Sótano,2024-10-26 01:48:35,15.98,59.33,79.14
S1638,Exteriores,2024-10-25 23:39:35,17.21,73.86,88.83
S8709,Edificio A,2024-10-26 06:39:35,16.43,76.09,48.48
S3514,Edificio B,2024-10-26 12:57:35,27.93,69.14,79.53
S6146,Exteriores,2024-10-26 07:52:35,29.43,57.58,85.16
S5144,Sótano,2024-10-26 05:05:35,20.15,75.52,26.92
S5645,Exteriores,2024-10-25 19:11:35,23.43,39.96,24.02
S3785,Edificio B,2024-10-26 11:24:35,18.69,59.6,69.65
S5258,Exteriores,2024-10-25 18:59:35,22.13,33.78,69.02
S8219,Sótano,2024-10-26 06:39:35,19.44,49.51,74.25
S2048,Exteriores,2024-10-26 08:05:35,22.53,75.43,76.84
S1401,Edificio B,2024-10-26 09:59:35,21.18,34.55,59.8
S1751,Sótano,2024-10-26 09:26:35,16.98,31.97,43.19
S4790,Sótano,2024-10-26 07:40:35,18.9,71.12,83.58
S8035,Edificio B,2024-10-26 05:27:35,22.74,59.33,82.56
S4000,Edificio A,2024-10-26 13:44:35,27.36,40.31,95.17
S7537,Edificio B,2024-10-26 02:54:35,27.13,50.96,61.62
S1489,Edificio B,2024-10-25 21:39:35,21.9,36.89,32.41
S7445,Edificio A,2024-10-26 12:30:35,25.91,78.65,72.14
S4343,Edificio B,2024-10-26 10:30:35,23.5,46.19,51.04
S2632,Edificio B,2024-10-26 03:11:35,26.31,56.05,90.15
S8090,Exteriores,2024-10-25 19:02:35,29.68,44.73,91.34
S2248,Edificio A,2024-10-26 16:29:35,21.96,37.81,79.01
S4097,Edificio B,2024-10-26 04:03:35,25.66,57.06,28.9
S8410,Exteriores,2024-10-25 23:50:35,28.14,51.65,43.22
S1219,Edificio B,2024-10-25 19:59:35,20.51,67.64,58.03
S1059,Exteriores,2024-10-26 06:01:35,18.09,42.12,20.58
S1686,Exteriores,2024-10-26 05:01:35,22.85,32.85,88.14
S5887,Edificio A,2024-10-26 10:50:35,21.87,64.62,98.43
S6466,Exteriores,2024-10-25 20:25:35,27.28,65.49,69.08
S7181,Edificio A,2024-10-26 06:17:35,20.94,79.06,10.23
S9810,Edificio B,2024-10-26 09:45:35,28.52,71.37,58.1
S2214,Sótano,2024-10-25 19:57:35,25.56,74.42,33.37
S6951,Exteriores,2024-10-26 06:39:35,16.82,50.2,43.97
S1022,Edificio B,2024-10-26 02:44:35,24.97,75.69,18.64
S6408,Exteriores,2024-10-26 09:25:35,20.92,36.72,68.8
S9193,Edificio A,2024-10-26 10:46:35,27.86,61.43,78.92
S5244,Exteriores,2024-10-26 02:10:35,27.65,65.06,25.09
S7559,Sótano,2024-10-25 19:33:35,27.41,66.37,90.91
S3539,Edificio A,2024-10-26 12:31:35,18.87,74.63,85.94
S6018,Edificio B,2024-10-25 20:18:35,15.22,42.05,37.94
S1461,Edificio A,2024-10-26 08:07:35,20.16,31.75,81.76
S3313,Edificio A,2024-10-25 21:38:35,21.24,46.88,59.06
S4575,Exteriores,2024-10-26 15:31:35,17.04,76.18,74.58
S9662,Sótano,2024-10-25 17:23:35,16.77,45.37,89.88
S9799,Exteriores,2024-10-25 21:19:35,22.56,55.05,89.46
S9303,Edificio B,2024-10-25 18:56:35,21.99,54.54,36.9
S3191,Sótano,2024-10-25 17:30:35,25.91,46.25,83.44
S3641,Edificio A,2024-10-26 13:18:35,19.01,51.24,79.47
S1646,Sótano,2024-10-26 06:26:35,29.14,58.03,90.0
S1934,Edificio B,2024-10-26 06:29:35,25.67,46.46,99.69
S7664,Edificio A,2024-10-26 13:15:35,27.59,66.47,75.23
S3144,Exteriores,2024-10-25 19:35:35,25.83,61.34,25.89
S6223,Edificio A,2024-10-25 18:50:35,25.43,32.01,79.98
S9681,Exteriores,2024-10-25 18:00:35,28.09,60.16,42.85
S9953,Edificio A,2024-10-26 12:59:35,15.36,38.78,84.86
S5298,Sótano,2024-10-26 10:38:35,26.04,52.6,72.88
S9716,Exteriores,2024-10-26 00:25:35,26.61,55.3,94.55
S4551,Edificio B,2024-10-26 07:41:35,27.1,70.46,83.49
S4032,Sótano,2024-10-26 02:00:35,15.22,77.54,31.34
S5819,Sótano,2024-10-26 01:44:35,18.56,36.8,33.38
S5609,Exteriores,2024-10-25 17:37:35,28.35,55.2,36.51
S8757,Sótano,2024-10-26 02:52:35,29.08,42.57,40.83
S5779,Edificio A,2024-10-25 19:59:35,26.47,72.33,90.95
S5569,Edificio B,2024-10-26 13:51:35,23.33,30.73,91.4
S2982,Edificio B,2024-10-26 07:29:35,18.92,58.22,42.91
S2103,Exteriores,2024-10-25 17:14:35,25.53,55.93,46.56
S4506,Edificio A,2024-10-26 12:20:35,15.25,58.55,21.67
S7106,Sótano,2024-10-26 12:19:35,23.85,45.31,22.61
S4730,Exteriores,2024-10-25 20:35:35,20.57,70.26,41.7
S7549,Sótano,2024-10-26 00:40:35,25.82,36.62,47.02
S1881,Edificio B,2024-10-26 04:21:35,20.66,65.35,12.14
S4533,Edificio B,2024-10-25 18:33:35,27.29,48.71,57.84
S4281,Exteriores,2024-10-26 01:03:35,24.91,30.79,52.91
S1694,Edificio A,2024-10-26 03:25:35,18.26,50.22,38.37
S4456,Sótano,2024-10-26 02:08:35,21.63,43.88,65.94
S4015,Sótano,2024-10-26 06:29:35,15.49,74.68,33.8
S1155,Edificio B,2024-10-26 13:21:35,22.81,67.24,15.85
S8391,Sótano,2024-10-26 15:06:35,20.4,72.11,96.08
S6871,Edificio A,2024-10-26 08:51:35,28.6,60.2,10.67
S5911,Exteriores,2024-10-26 03:21:35,28.2,40.04,60.11
S1377,Sótano,2024-10-26 09:52:35,29.59,39.27,13.38
S9185,Sótano,2024-10-26 07:08:35,29.85,39.3,44.4
S5417,Edificio A,2024-10-25 20:39:35,16.39,35.27,41.63
S4997,Sótano,2024-10-26 00:46:35,19.17,43.69,15.97
S6084,Edificio A,2024-10-25 17:32:35,29.08,30.82,11.32
S8425,Sótano,2024-10-26 05:16:35,23.97,63.78,72.52
S1602,Edificio A,2024-10-26 10:44:35,24.5,54.12,65.99
S5509,Edificio A,2024-10-26 06:32:35,19.43,47.37,84.26
S9822,Edificio A,2024-10-26 02:18:35,15.27,79.47,37.48
S2907,Edificio B,2024-10-25 23:37:35,20.45,34.09,37.4
S1915,Exteriores,2024-10-26 05:45:35,19.58,45.63,75.95
S9017,Exteriores,2024-10-26 11:27:35,28.82,74.92,91.3
S1713,Edificio B,2024-10-26 10:24:35,19.83,52.71,38.11
S9829,Exteriores,2024-10-26 11:08:35,26.12,32.85,54.41
S7564,Edificio B,2024-10-26 14:32:35,19.78,73.37,96.84
S1322,Sótano,2024-10-26 06:44:35,26.79,57.18,66.81
S5812,Exteriores,2024-10-25 19:08:35,24.95,38.27,19.54
S3992,Edificio B,2024-10-25 17:47:35,16.42,58.34,53.94
S4038,Sótano,2024-10-26 02:16:35,22.11,47.69,12.0
S2291,Edificio B,2024-10-26 11:57:35,19.2,30.96,35.55
S5400,Exteriores,2024-10-25 19:35:35,17.71,50.94,69.33
S8577,Edificio A,2024-10-26 11:56:35,28.19,41.62,60.2
S8606,Edificio B,2024-10-25 18:33:35,17.02,43.86,44.8
S7215,Sótano,2024-10-25 17:39:35,15.78,51.57,46.75
S7470,Exteriores,2024-10-26 10:16:35,29.22,45.4,76.29
S6719,Exteriores,2024-10-26 14:23:35,27.54,55.29,68.13
S1189,Exteriores,2024-10-26 03:11:35,16.71,50.57,45.97
S5968,Edificio A,2024-10-25 18:03:35,24.73,66.93,89.58
S5799,Exteriores,2024-10-26 02:57:35,16.71,47.02,58.98
S4384,Sótano,2024-10-25 20:59:35,23.46,76.53,40.66
S6572,Edificio A,2024-10-26 00:14:35,22.23,58.08,92.42
S9808,Edificio A,2024-10-25 22:30:35,24.32,43.57,74.64
S4184,Exteriores,2024-10-25 17:16:35,16.5,71.75,95.55
S2308,Edificio B,2024-10-26 12:31:35,24.66,45.47,55.54
S6194,Exteriores,2024-10-25 23:04:35,15.96,43.54,86.52
S5144,Exteriores,2024-10-26 03:51:35,18.35,78.57,57.5
S3930,Edificio B,2024-10-26 09:37:35,28.26,69.06,98.59
S4994,Edificio A,2024-10-26 01:01:35,20.56,35.83,28.98
S9490,Edificio B,2024-10-25 19:55:35,28.98,53.36,54.31
S4495,Edificio B,2024-10-25 20:46:35,24.28,41.43,48.12
S5242,Exteriores,2024-10-26 05:51:35,27.22,43.57,96.76
S9841,Edificio B,2024-10-26 00:37:35,20.57,33.65,28.84
S6320,Exteriores,2024-10-25 16:53:35,16.27,39.45,46.45
S5490,Edificio A,2024-10-25 19:22:35,17.53,42.03,76.48
S5771,Exteriores,2024-10-25 20:34:35,19.76,38.03,57.02
S5916,Exteriores,2024-10-25 20:10:35,24.05,75.85,71.16
S4028,Edificio B,2024-10-26 07:57:35,17.1,69.31,40.48
S4618,Exteriores,2024-10-26 10:20:35,18.63,52.2,96.06
S5683,Edificio A,2024-10-25 20:46:35,17.47,62.06,36.69
S8016,Sótano,2024-10-26 08:46:35,23.8,79.97,18.53
S8885,Sótano,2024-10-25 22:06:35,24.02,56.45,25.95
S7832,Exteriores,2024-10-26 15:39:35,20.71,62.25,47.26
S9518,Edificio A,2024-10-26 01:11:35,28.92,36.17,18.81
S9679,Edificio A,2024-10-26 01:40:35,23.3,40.23,89.46
S1790,Exteriores,2024-10-26 13:40:35,21.32,40.23,51.3
S3506,Edificio A,2024-10-26 12:18:35,17.45,35.17,58.03
S2128,Edificio A,2024-10-26 07:00:35,20.36,79.16,59.71
S3216,Edificio B,2024-10-26 03:38:35,20.51,45.0,64.51
S7832,Exteriores,2024-10-25 18:51:35,19.23,63.76,12.45
S8427,Edificio A,2024-10-25 21:46:35,18.17,67.85,85.8
S4429,Edificio A,2024-10-25 20:16:35,15.01,72.46,83.23
S4772,Edificio B,2024-10-26 09:55:35,20.27,77.32,81.27
S4196,Exteriores,2024-10-25 22:44:35,18.23,33.88,12.27
S8607,Edificio A,2024-10-25 22:58:35,19.33,72.03,27.3
S6484,Exteriores,2024-10-26 04:10:35,29.43,39.02,39.93
S6749,Exteriores,2024-10-26 13:53:35,24.24,69.5,30.48
S9070,Exteriores,2024-10-26 14:33:35,28.46,46.8,73.27
S6976,Edificio B,2024-10-26 00:36:35,24.25,54.08,59.63
S5485,Edificio B,2024-10-26 06:53:35,25.87,34.21,17.31
S7732,Exteriores,2024-10-25 17:43:35,17.85,45.91,29.56
S4997,Sótano,2024-10-26 08:28:35,23.12,74.62,90.79
S8798,Edificio B,2024-10-26 03:29:35,19.95,32.28,24.88
S5774,Exteriores,2024-10-25 17:04:35,23.05,37.82,57.92
S8710,Edificio A,2024-10-25 20:40:35,27.69,75.52,87.88
S8305,Edificio B,2024-10-25 18:08:35,15.19,42.53,74.68
S7031,Sótano,2024-10-26 06:28:35,16.87,45.17,48.16
S2691,Edificio A,2024-10-26 09:01:35,16.14,41.2,99.87
S3936,Sótano,2024-10-26 12:17:35,15.48,52.18,29.0
S5096,Exteriores,2024-10-26 00:07:35,15.91,32.37,98.27
S4297,Sótano,2024-10-26 00:51:35,16.5,60.47,10.52
S9429,Exteriores,2024-10-26 00:29:35,16.86,70.91,90.34
S7327,Sótano,2024-10-25 17:58:35,20.81,78.55,64.69
S6852,Exteriores,2024-10-25 19:29:35,21.82,51.53,84.74
S1459,Exteriores,2024-10-26 04:21:35,18.47,51.45,51.89
S6301,Exteriores,2024-10-26 07:44:35,24.59,72.13,32.05
S4719,Edificio A,2024-10-26 06:04:35,23.26,71.85,12.13
S8712,Edificio B,2024-10-26 04:59:35,22.72,36.58,99.4
S4928,Sótano,2024-10-26 12:48:35,25.51,67.96,63.98
S6236,Edificio A,2024-10-26 10:58:35,27.79,38.37,97.34
S8503,Edificio B,2024-10-26 00:48:35,17.2,51.07,19.14
S7762,Exteriores,2024-10-25 19:47:35,24.19,69.96,90.95
S9660,Edificio A,2024-10-26 14:25:35,15.56,46.75,87.98
S4856,Sótano,2024-10-26 13:21:35,28.82,67.77,60.12
S5852,Sótano,2024-10-25 18:57:35,21.83,65.32,71.28
S2866,Edificio A,2024-10-25 23:27:35,16.09,71.61,44.87
S7880,Edificio B,2024-10-26 02:57:35,23.19,33.1,98.89
S7537,Edificio A,2024-10-25 21:53:35,21.83,55.56,32.82
S7476,Edificio A,2024-10-26 15:10:35,28.62,51.76,59.29
S6638,Edificio B,2024-10-25 21:28:35,18.81,76.88,79.42
S5040,Edificio B,2024-10-26 01:55:35,26.14,73.42,34.05
S2856,Edificio A,2024-10-25 17:34:35,21.93,51.57,70.65
S9384,Exteriores,2024-10-26 15:03:35,15.61,60.29,74.87
S8621,Exteriores,2024-10-26 01:26:35,19.95,79.07,74.42
S6865,Edificio B,2024-10-26 16:17:35,28.65,45.34,27.97
S4852,Edificio B,2024-10-26 01:54:35,24.0,63.85,41.23
S4302,Edificio A,2024-10-25 21:26:35,29.77,34.87,92.57
S6799,Sótano,2024-10-25 19:01:35,16.77,53.87,40.14
S3063,Edificio B,2024-10-26 09:40:35,25.89,37.66,90.36
S1388,Edificio A,2024-10-26 06:43:35,22.57,47.59,21.64
S9966,Edificio A,2024-10-26 01:35:35,16.08,40.1,93.77
S1190,Exteriores,2024-10-25 20:34:35,27.57,57.86,97.04
S9320,Edificio B,2024-10-26 14:35:35,27.29,71.82,98.98
S3910,Edificio A,2024-10-26 00:03:35,25.12,42.07,12.09
S1833,Sótano,2024-10-25 17:19:35,27.68,66.24,68.52
S1133,Edificio B,2024-10-26 04:04:35,16.82,71.66,44.12
S3501,Exteriores,2024-10-26 10:04:35,22.72,69.44,93.54
S7686,Edificio A,2024-10-25 19:46:35,29.61,33.59,47.77
S6297,Edificio A,2024-10-26 15:43:35,26.79,78.44,21.04
S9413,Exteriores,2024-10-26 14:12:35,23.92,34.14,95.1
S4956,Edificio B,2024-10-26 16:34:35,27.4,35.67,55.0
S5248,Edificio B,2024-10-26 06:57:35,23.57,61.21,36.95
S9783,Edificio A,2024-10-26 10:58:35,23.98,49.83,41.91
S1771,Edificio A,2024-10-26 08:07:35,25.83,38.31,26.03
S3048,Edificio B,2024-10-25 18:25:35,25.01,70.27,56.53
S6236,Sótano,2024-10-26 08:21:35,29.49,36.2,76.25
S5635,Edificio B,2024-10-26 13:33:35,23.62,51.55,51.34
S6149,Edificio B,2024-10-25 20:29:35,17.34,49.71,91.0
S7928,Edificio B,2024-10-26 02:04:35,29.29,58.59,30.51
S5170,Exteriores,2024-10-25 20:22:35,21.97,69.21,53.55
S4996,Edificio A,2024-10-25 19:04:35,26.77,76.0,57.05
S3601,Edificio A,2024-10-26 13:07:35,22.09,36.69,26.33
S7482,Sótano,2024-10-26 04:30:35,20.83,59.73,83.27
S6051,Exteriores,2024-10-26 08:03:35,15.88,57.21,46.87
S5388,Edificio B,2024-10-26 06:10:35,16.05,67.17,27.08
S5122,Edificio B,2024-10-26 09:47:35,29.95,33.31,87.18
S9386,Sótano,2024-10-25 19:00:35,24.35,72.06,34.36
S3681,Edificio B,2024-10-26 13:02:35,20.91,33.5,22.33
S2711,Edificio A,2024-10-26 15:49:35,29.02,45.51,50.83
S2467,Edificio A,2024-10-26 01:16:35,17.82,60.07,64.42
S4975,Exteriores,2024-10-26 00:00:35,17.85,55.64,22.3
S6782,Sótano,2024-10-25 22:44:35,21.03,53.96,82.59
S8320,Edificio A,2024-10-26 15:30:35,15.76,34.69,27.07
S6944,Sótano,2024-10-26 13:46:35,19.37,53.0,96.81
S8619,Sótano,2024-10-26 04:39:35,25.64,51.62,57.49
S8195,Exteriores,2024-10-26 09:46:35,20.9,75.91,27.55
S6655,Exteriores,2024-10-26 12:32:35,22.76,62.12,87.89
S3174,Sótano,2024-10-26 06:29:35,26.88,34.34,57.91
S4086,Edificio B,2024-10-26 03:45:35,24.69,61.0,41.6
S6812,Edificio B,2024-10-25 18:21:35,18.55,51.55,96.98
S6884,Edificio A,2024-10-26 00:54:35,21.01,76.99,18.46
S6425,Edificio B,2024-10-26 16:17:35,15.92,72.24,66.78
S5059,Edificio A,2024-10-26 11:03:35,28.65,38.76,75.34
S3274,Sótano,2024-10-26 00:17:35,24.83,68.34,58.77
S6607,Edificio A,2024-10-26 01:45:35,22.09,71.38,51.82
S2596,Edificio B,2024-10-26 07:50:35,22.32,40.38,24.76
S4695,Sótano,2024-10-26 04:52:35,25.54,61.81,42.49
S3723,Sótano,2024-10-25 17:33:35,20.17,64.95,16.09
S7493,Exteriores,2024-10-26 05:57:35,25.52,67.03,72.29
S4265,Sótano,2024-10-26 05:55:35,19.49,60.6,26.07
S1976,Edificio A,2024-10-26 10:29:35,26.94,73.24,91.25
S5868,Edificio A,2024-10-26 11:28:35,18.26,51.07,15.93
S5419,Sótano,2024-10-26 07:00:35,15.93,40.62,56.2
S2108,Edificio B,2024-10-25 21:35:35,17.36,79.62,62.12
S2193,Exteriores,2024-10-26 12:53:35,22.98,78.15,30.6
S3141,Exteriores,2024-10-25 22:33:35,19.01,30.52,59.59
S5778,Sótano,2024-10-26 16:38:35,25.13,34.94,92.64
S5226,Edificio B,2024-10-26 02:41:35,19.81,30.96,99.26
S9782,Sótano,2024-10-26 02:46:35,27.19,68.76,74.05
S3852,Edificio B,2024-10-26 04:08:35,17.87,62.08,56.68
S4974,Sótano,2024-10-26 04:35:35,27.97,52.91,73.14
S4549,Sótano,2024-10-26 06:35:35,23.19,63.14,50.46
S9725,Edificio B,2024-10-26 10:58:35,26.39,44.86,83.23
S7970,Edificio B,2024-10-26 10:32:35,16.22,65.08,59.2
S4673,Exteriores,2024-10-26 11:59:35,27.8,34.22,13.9
S3147,Exteriores,2024-10-26 01:47:35,28.49,43.49,65.02
S6940,Sótano,2024-10-26 16:21:35,28.92,56.49,64.88
S4157,Edificio A,2024-10-25 17:16:35,28.68,43.88,25.23
S3088,Exteriores,2024-10-26 07:21:35,26.81,65.78,89.52
S2604,Sótano,2024-10-26 07:20:35,28.66,76.97,81.25
S6583,Edificio A,2024-10-26 13:13:35,25.94,44.78,93.68
S1041,Edificio A,2024-10-26 06:56:35,15.93,44.87,48.85
S9084,Sótano,2024-10-26 01:31:35,28.22,31.18,32.73
S6998,Edificio A,2024-10-26 01:06:35,17.97,50.68,49.13
S1452,Sótano,2024-10-26 12:39:35,15.42,41.52,23.23
S3303,Edificio B,2024-10-26 03:46:35,28.31,38.07,91.61
S8930,Edificio A,2024-10-26 02:34:35,20.94,31.94,83.0
S8988,Exteriores,2024-10-26 00:14:35,19.76,40.93,23.49
S3270,Edificio A,2024-10-26 12:23:35,26.65,51.35,46.12
S9295,Exteriores,2024-10-25 17:59:35,20.43,61.21,64.14
S1384,Edificio A,2024-10-26 06:00:35,29.14,74.64,28.55
S4338,Sótano,2024-10-25 23:27:35,25.21,60.37,43.7
